ts,event_type,level,size
2023-01-01 00:00:00,LS,-3,7.703308303644822
2023-01-01 00:00:01,LB,0,6.491254161454515
2023-01-01 00:00:02,MS,0,8.266756884123058
2023-01-01 00:00:03,LS,1,9.160109529479216
2023-01-01 00:00:04,LS,0,7.958152213924778
2023-01-01 00:00:05,LB,3,13.120271149784386
2023-01-01 00:00:06,C,-4,4.551434413048493
2023-01-01 00:00:07,LS,1,6.0075396046942755
2023-01-01 00:00:08,LB,0,12.308166275505089
2023-01-01 00:00:09,LB,-1,10.289066632782475
2023-01-01 00:00:10,LB,-3,7.228127210599784
2023-01-01 00:00:11,LS,0,15.314046187288474
2023-01-01 00:00:12,LB,-1,3.034841880000072
2023-01-01 00:00:13,MB,4,6.871468000215519
2023-01-01 00:00:14,LB,-1,9.50322870607099
2023-01-01 00:00:15,LS,1,18.20758751260411
2023-01-01 00:00:16,MS,-1,11.534196968696254
2023-01-01 00:00:17,MS,-1,7.6245484605421145
2023-01-01 00:00:18,LB,0,3.7899246131424147
2023-01-01 00:00:19,LB,-4,19.26803955430829
2023-01-01 00:00:20,LS,1,4.377528574132147
2023-01-01 00:00:21,C,2,15.191944213796825
2023-01-01 00:00:22,LS,0,5.367831614895197
2023-01-01 00:00:23,LS,0,12.14836779340282
2023-01-01 00:00:24,LS,1,7.662468482305248
2023-01-01 00:00:25,LB,1,4.774344975387662
2023-01-01 00:00:26,LB,0,5.139307584749657
2023-01-01 00:00:27,MS,-3,5.815990491847901
2023-01-01 00:00:28,LB,-3,10.900886195792843
2023-01-01 00:00:29,LS,-1,6.972128733588306
2023-01-01 00:00:30,MB,2,6.778376178706725
2023-01-01 00:00:31,LB,1,9.083545276234318
2023-01-01 00:00:32,LB,2,4.39867595892661
2023-01-01 00:00:33,LB,1,5.538282548605366
2023-01-01 00:00:34,LB,-2,14.02546754559074
2023-01-01 00:00:35,LB,3,4.850934143299154
2023-01-01 00:00:36,LB,5,5.954774220415274
2023-01-01 00:00:37,C,-2,4.575718996610827
2023-01-01 00:00:38,C,3,5.630397504680559
2023-01-01 00:00:39,LB,1,7.076213915521067
2023-01-01 00:00:40,LS,-1,23.555339135216673
2023-01-01 00:00:41,MB,-5,3.970685045189519
2023-01-01 00:00:42,LB,0,4.912552458451559
2023-01-01 00:00:43,LB,4,7.985061899877444
2023-01-01 00:00:44,C,-2,2.3252005184332503
2023-01-01 00:00:45,LB,3,5.731227604231063
2023-01-01 00:00:46,LB,-2,4.653958392702216
2023-01-01 00:00:47,C,5,12.536010704606248
2023-01-01 00:00:48,LB,-5,17.040417485491048
2023-01-01 00:00:49,LS,2,2.038129785221722
2023-01-01 00:00:50,MS,2,8.74989901847129
2023-01-01 00:00:51,LS,1,21.00763171609749
2023-01-01 00:00:52,LS,1,27.724220214274347
2023-01-01 00:00:53,LS,-2,18.51691943593629
2023-01-01 00:00:54,LB,0,10.048437124268917
2023-01-01 00:00:55,LB,-1,10.373907425378976
2023-01-01 00:00:56,LB,0,12.527381766225941
2023-01-01 00:00:57,LS,2,3.4457421802241868
2023-01-01 00:00:58,C,0,8.757660245178814
2023-01-01 00:00:59,LB,2,13.287634075388874
2023-01-01 00:01:00,LS,3,11.029080264834777
2023-01-01 00:01:01,LS,-3,3.1560417486709955
2023-01-01 00:01:02,LS,0,5.151493484477548
2023-01-01 00:01:03,LS,-1,11.04644832059116
2023-01-01 00:01:04,C,1,5.601058670413096
2023-01-01 00:01:05,MB,0,4.4885672507254375
2023-01-01 00:01:06,LS,-4,1.79696883366071
2023-01-01 00:01:07,LB,4,3.050872766735644
2023-01-01 00:01:08,MS,3,25.132668203121018
2023-01-01 00:01:09,LS,1,8.416063281384785
2023-01-01 00:01:10,MB,-1,7.719939904322326
2023-01-01 00:01:11,C,-1,4.923221418732627
2023-01-01 00:01:12,LS,0,4.664991947787591
2023-01-01 00:01:13,LS,1,9.554326449851626
2023-01-01 00:01:14,MB,3,4.963317519242946
2023-01-01 00:01:15,LS,0,6.702318908400503
2023-01-01 00:01:16,LS,3,13.067635262157589
2023-01-01 00:01:17,MS,-1,7.0627570069024355
2023-01-01 00:01:18,MS,2,9.84063067175188
2023-01-01 00:01:19,LS,4,10.466225525701253
2023-01-01 00:01:20,LB,2,16.059872657865014
2023-01-01 00:01:21,LS,-1,10.768585015297111
2023-01-01 00:01:22,LS,-2,7.965007922675165
2023-01-01 00:01:23,LB,2,13.348506995061008
2023-01-01 00:01:24,C,2,12.060010002437293
2023-01-01 00:01:25,C,1,4.691772290476507
2023-01-01 00:01:26,LB,0,11.22875295598093
2023-01-01 00:01:27,MB,0,6.314470403292113
2023-01-01 00:01:28,LB,-2,5.712135947582457
2023-01-01 00:01:29,LB,-2,4.8326000968000535
